rowid,yearstart,yearend,locationabbr,locationdesc,datasource,class,topic,question,data_value_unit,datavaluetypeid,data_value_type,data_value_footnote_symbol,data_value_footnote,stratificationcategory1,stratification1,stratificationcategory2,stratification2,geolocation,classid,topicid,questionid,locationid,stratificationcategoryid1,stratificationid1,stratificationcategoryid2,stratificationid2,data_value,data_value_alt,low_confidence_limit,high_confidence_limit
BRFSS~2022~2022~50~Q42~TCC04~AGE~RACE,2022,2022,VT,Vermont,BRFSS,Cognitive Decline,Talked with health care professional about subjective cognitive decline or memory loss,Percentage of older adults with subjective cognitive decline or memory loss who reported talking with a health care professional about it,%,PRCTG,Percentage,~,No Data Available,Age Group,65 years or older,Race/Ethnicity,"Black, non-Hispanic","{'type': 'Point', 'coordinates': [-72.51764079099962, 43.62538123900049]}",C06,TCC04,Q42,50,AGE,65PLUS,RACE,BLK,,,,
BRFSS~2022~2022~55~Q41~TCC03~AGE~RACE,2022,2022,WI,Wisconsin,BRFSS,Cognitive Decline,Need assistance with day-to-day activities because of subjective cognitive decline or memory loss,Percentage of older adults who reported that as a result of subjective cognitive decline or memory loss that they need assistance with day-to-day activities,%,PRCTG,Percentage,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,Age Group,Overall,Race/Ethnicity,Native Am/Alaskan Native,"{'type': 'Point', 'coordinates': [-89.81637074199966, 44.39319117400049]}",C06,TCC03,Q41,55,AGE,AGE_OVERALL,RACE,NAA,,,,
BRFSS~2022~2022~51~Q31~TCC02~AGE~RACE,2022,2022,VA,Virginia,BRFSS,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that interferes with their ability to engage in social activities or household chores,%,PRCTG,Percentage,,,Age Group,Overall,Race/Ethnicity,"Black, non-Hispanic","{'type': 'Point', 'coordinates': [-78.45789046299967, 37.54268067400045]}",C06,TCC02,Q31,51,AGE,AGE_OVERALL,RACE,BLK,40.3,40.3,24.6,58.3
BRFSS~2022~2022~51~Q30~TCC01~AGE~SEX,2022,2022,VA,Virginia,BRFSS,Cognitive Decline,Subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that is happening more often or is getting worse in the preceding 12 months,%,PRCTG,Percentage,,,Age Group,Overall,Sex,Male,"{'type': 'Point', 'coordinates': [-78.45789046299967, 37.54268067400045]}",C06,TCC01,Q30,51,AGE,AGE_OVERALL,SEX,MALE,10.5,10.5,8.8,12.4
BRFSS~2022~2022~55~Q42~TCC04~AGE~RACE,2022,2022,WI,Wisconsin,BRFSS,Cognitive Decline,Talked with health care professional about subjective cognitive decline or memory loss,Percentage of older adults with subjective cognitive decline or memory loss who reported talking with a health care professional about it,%,PRCTG,Percentage,,,Age Group,65 years or older,Race/Ethnicity,"White, non-Hispanic","{'type': 'Point', 'coordinates': [-89.81637074199966, 44.39319117400049]}",C06,TCC04,Q42,55,AGE,65PLUS,RACE,WHT,36.1,36.1,29.9,42.8
BRFSS~2022~2022~9004~Q30~TCC01~AGE~OVERALL,2022,2022,WEST,West,BRFSS,Cognitive Decline,Subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that is happening more often or is getting worse in the preceding 12 months,%,PRCTG,Percentage,&,Regional estimates may not represent all states in the region,Age Group,Overall,,,,C06,TCC01,Q30,9004,AGE,AGE_OVERALL,OVERALL,OVERALL,11.9,11.9,10.7,13.3
BRFSS~2022~2022~51~Q41~TCC03~AGE~OVERALL,2022,2022,VA,Virginia,BRFSS,Cognitive Decline,Need assistance with day-to-day activities because of subjective cognitive decline or memory loss,Percentage of older adults who reported that as a result of subjective cognitive decline or memory loss that they need assistance with day-to-day activities,%,PRCTG,Percentage,,,Age Group,Overall,,,"{'type': 'Point', 'coordinates': [-78.45789046299967, 37.54268067400045]}",C06,TCC03,Q41,51,AGE,AGE_OVERALL,OVERALL,OVERALL,26.5,26.5,21.7,31.9
BRFSS~2022~2022~9004~Q30~TCC01~AGE~SEX,2022,2022,WEST,West,BRFSS,Cognitive Decline,Subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that is happening more often or is getting worse in the preceding 12 months,%,PRCTG,Percentage,&,Regional estimates may not represent all states in the region,Age Group,65 years or older,Sex,Female,,C06,TCC01,Q30,9004,AGE,65PLUS,SEX,FEMALE,11.0,11.0,9.2,13.1
BRFSS~2022~2022~55~Q41~TCC03~AGE~RACE,2022,2022,WI,Wisconsin,BRFSS,Cognitive Decline,Need assistance with day-to-day activities because of subjective cognitive decline or memory loss,Percentage of older adults who reported that as a result of subjective cognitive decline or memory loss that they need assistance with day-to-day activities,%,PRCTG,Percentage,,,Age Group,50-64 years,Race/Ethnicity,"White, non-Hispanic","{'type': 'Point', 'coordinates': [-89.81637074199966, 44.39319117400049]}",C06,TCC03,Q41,55,AGE,5064,RACE,WHT,26.6,26.6,19.7,34.8
BRFSS~2022~2022~9004~Q41~TCC03~AGE~OVERALL,2022,2022,WEST,West,BRFSS,Cognitive Decline,Need assistance with day-to-day activities because of subjective cognitive decline or memory loss,Percentage of older adults who reported that as a result of subjective cognitive decline or memory loss that they need assistance with day-to-day activities,%,PRCTG,Percentage,&,Regional estimates may not represent all states in the region,Age Group,50-64 years,,,,C06,TCC03,Q41,9004,AGE,5064,OVERALL,OVERALL,34.2,34.2,26.1,43.4
